### Catalogs
%catalog cmsprod /home/cmsprod/catalog/t2mit
%catalog monox catalog
### Data 2018
egm-18a          "EGamma (2018A)"                    4794.0           400867752  -                    lhc       cmsprod  pandaf/013   EGamma+Run2018A-PromptReco-v{1,2,3}+MINIAOD
egm-18b          "EGamma (2018B)"                    9631.7           154005613  -                    lhc       cmsprod  pandaf/013   EGamma+Run2018B-PromptReco-v{1,2}+MINIAOD
egm-18c          "EGamma (2018C)"                    4247.7           147911286  -                    lhc       cmsprod  pandaf/013   EGamma+Run2018C-PromptReco-v{1,2,3}+MINIAOD
egm-18d          "EGamma (2018D)"                    9313.7           738868103  -                    lhc       cmsprod  pandaf/013   EGamma+Run2018D-PromptReco-v2+MINIAOD
smu-18a          "SingleMuon (2018A)"                9313.7           304546041  -                    lhc       cmsprod  pandaf/013   SingleMuon+Run2018A-PromptReco-v{1,2,3}+MINIAOD
smu-18b          "SingleMuon (2018B)"                4794.0           119919400  -                    lhc       cmsprod  pandaf/013   SingleMuon+Run2018B-PromptReco-v{1,2}+MINIAOD
smu-18c          "SingleMuon (2018C)"                9625.5           110034391  -                    lhc       cmsprod  pandaf/013   SingleMuon+Run2018C-PromptReco-v{1,2,3}+MINIAOD
smu-18d          "SingleMuon (2018D)"                4247.7           506717754  -                    lhc       cmsprod  pandaf/013   SingleMuon+Run2018D-PromptReco-v2+MINIAOD
### MC
gj-40            "#gamma+jet"                        1.000            4801969    4801969.0            mg5       cmsprod  pandaf/013   GJets_HT-40To100_TuneCP5_13TeV-madgraphMLM-pythia8+RunIIFall17MiniAODv2-PU2017_12Apr2018_1core_94X_mc2017_realistic_v14_ext1-v1+MINIAODSIM
gj-100           "#gamma+jet"                        9229             9959190    9959190.0            mg5       cmsprod  pandaf/013   GJets_HT-100To200_TuneCP5_13TeV-madgraphMLM-pythia8+RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1+MINIAODSIM
gj-200           "#gamma+jet"                        2298             18536907   18536907.0           mg5       cmsprod  pandaf/013   GJets_HT-200To400_TuneCP5_13TeV-madgraphMLM-pythia8+RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1+MINIAODSIM
gj-400           "#gamma+jet"                        273.4            4646958    4646958.0            mg5       cmsprod  pandaf/013   GJets_HT-400To600_TuneCP5_13TeV-madgraphMLM-pythia8+RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1+MINIAODSIM
gj-600           "#gamma+jet"                        92.91            537295     537295.0             mg5       cmsprod  pandaf/013   GJets_HT-600ToInf_TuneCP5_13TeV-madgraphMLM-pythia8+RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1+MINIAODSIM
gj04-40          "#gamma+jet"                        18360            12028839   12028839.0           mg5       cmsprod  pandaf/013   GJets_DR-0p4_HT-400To600_TuneCP5_13TeV-madgraphMLM-pythia8+RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1+MINIAODSIM # yes this is actually HT-40To100
